out_label,lhs_label,rhs_label,out_ndx,out_pdx,opcode,zero,location
1,0,0,1.000000,1.000000,,0,input_char
2,0,0,1.000000,1.000000,,0,input_char
3,0,0,1.000000,1.000000,,0,input_char
4,0,0,1.000000,1.000000,,0,input_char
5,0,0,1.000000,1.000000,,0,input_char
6,0,0,1.000000,1.000000,,0,input_char
7,0,0,1.000000,1.000000,,0,input_char
8,0,0,1.000000,1.000000,,0,input_char
9,0,0,1.000000,1.000000,,0,input_char
10,0,0,1.000000,1.000000,,0,input_char
11,0,0,1.000000,1.000000,,0,input_char
12,0,0,1.000000,1.000000,,0,input_char
13,0,0,1.000000,1.000000,,0,input_char
14,0,0,1.000000,1.000000,,0,input_char
15,0,0,1.000000,1.000000,,0,input_char
16,0,0,1.000000,1.000000,,0,input_char
17,0,0,1.000000,1.000000,,0,input_char
18,0,0,1.000000,1.000000,,0,input_char
19,0,0,1.000000,1.000000,,0,input_char
20,0,0,1.000000,1.000000,,0,input_char
21,0,0,1.000000,1.000000,,0,input_char
22,0,0,1.000000,1.000000,,0,input_char
23,0,0,1.000000,1.000000,,0,input_char
24,0,0,1.000000,1.000000,,0,input_char
25,0,0,1.000000,1.000000,,0,input_char
26,0,0,1.000000,1.000000,,0,input_char
27,0,0,1.000000,1.000000,,0,input_char
28,0,0,1.000000,1.000000,,0,input_char
29,0,0,1.000000,1.000000,,0,input_char
30,0,0,1.000000,1.000000,,0,input_char
31,0,0,1.000000,1.000000,,0,input_char
