out_label,lhs_label,rhs_label,out_ndx,out_pdx,opcode,zero,location
1,0,0,1.000000,1.000000,,0,input_char
2,1,0,nan,nan,ICmp,0,UNKNOWN
3,1,0,nan,nan,ICmp,0,UNKNOWN
4,1,0,nan,nan,ICmp,0,UNKNOWN
5,1,0,nan,nan,ICmp,0,UNKNOWN
6,1,0,nan,nan,ICmp,0,UNKNOWN
7,6,0,nan,nan,Select,0,UNKNOWN
8,7,0,nan,nan,ICmp,0,UNKNOWN
9,0,1,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/challenges/Childs_Game/lib/strtol.c:124
10,8,9,nan,nan,Select,0,UNKNOWN
11,8,1,nan,nan,Select,0,UNKNOWN
12,0,11,nan,nan,Select,0,UNKNOWN
13,0,0,1.000000,1.000000,,0,input_char
14,13,0,nan,nan,ICmp,0,UNKNOWN
15,13,0,nan,nan,ICmp,0,UNKNOWN
16,0,0,1.000000,1.000000,,0,input_char
17,16,0,nan,nan,ICmp,0,UNKNOWN
18,16,0,nan,nan,ICmp,0,UNKNOWN
19,13,0,nan,nan,ICmp,0,UNKNOWN
20,16,0,nan,nan,ICmp,0,UNKNOWN
21,0,0,1.000000,1.000000,,0,input_char
22,21,0,nan,nan,ICmp,0,UNKNOWN
23,21,0,nan,nan,ICmp,0,UNKNOWN
24,0,0,1.000000,1.000000,,0,input_char
25,24,0,nan,nan,ICmp,0,UNKNOWN
26,24,0,nan,nan,ICmp,0,UNKNOWN
27,0,0,1.000000,1.000000,,0,input_char
28,27,0,nan,nan,ICmp,0,UNKNOWN
29,27,0,nan,nan,ICmp,0,UNKNOWN
30,0,0,1.000000,1.000000,,0,input_char
31,30,0,nan,nan,ICmp,0,UNKNOWN
32,30,0,nan,nan,ICmp,0,UNKNOWN
33,0,0,1.000000,1.000000,,0,input_char
34,33,0,nan,nan,ICmp,0,UNKNOWN
35,33,0,nan,nan,ICmp,0,UNKNOWN
36,0,0,1.000000,1.000000,,0,input_char
37,36,0,nan,nan,ICmp,0,UNKNOWN
38,36,0,nan,nan,ICmp,0,UNKNOWN
39,0,0,1.000000,1.000000,,0,input_char
40,39,0,nan,nan,ICmp,0,UNKNOWN
41,39,0,nan,nan,ICmp,0,UNKNOWN
42,0,0,1.000000,1.000000,,0,input_char
43,42,0,nan,nan,ICmp,0,UNKNOWN
44,42,0,nan,nan,ICmp,0,UNKNOWN
45,0,0,1.000000,1.000000,,0,input_char
46,45,0,nan,nan,ICmp,0,UNKNOWN
47,45,0,nan,nan,ICmp,0,UNKNOWN
48,0,0,1.000000,1.000000,,0,input_char
49,48,0,nan,nan,ICmp,0,UNKNOWN
50,48,0,nan,nan,ICmp,0,UNKNOWN
51,0,0,1.000000,1.000000,,0,input_char
52,51,0,nan,nan,ICmp,0,UNKNOWN
53,51,0,nan,nan,ICmp,0,UNKNOWN
54,0,0,1.000000,1.000000,,0,input_char
55,54,0,nan,nan,ICmp,0,UNKNOWN
56,54,0,nan,nan,ICmp,0,UNKNOWN
57,0,0,1.000000,1.000000,,0,input_char
58,57,0,nan,nan,ICmp,0,UNKNOWN
59,57,0,nan,nan,ICmp,0,UNKNOWN
60,0,0,1.000000,1.000000,,0,input_char
61,60,0,nan,nan,ICmp,0,UNKNOWN
62,60,0,nan,nan,ICmp,0,UNKNOWN
63,0,0,1.000000,1.000000,,0,input_char
64,63,0,nan,nan,ICmp,0,UNKNOWN
65,63,0,nan,nan,ICmp,0,UNKNOWN
