out_label,lhs_label,rhs_label,out_ndx,out_pdx,opcode,zero,location
1,0,0,1.000000,1.000000,,0,input_char
2,1,0,nan,nan,ICmp,0,UNKNOWN
3,1,0,nan,nan,ICmp,0,UNKNOWN
4,1,0,nan,nan,ICmp,0,UNKNOWN
5,1,0,nan,nan,ICmp,0,UNKNOWN
6,1,0,nan,nan,ICmp,0,UNKNOWN
7,6,0,nan,nan,Select,0,UNKNOWN
8,7,0,nan,nan,ICmp,0,UNKNOWN
9,0,1,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/challenges/Childs_Game/lib/strtol.c:124
10,8,9,nan,nan,Select,0,UNKNOWN
11,8,1,nan,nan,Select,0,UNKNOWN
12,0,11,nan,nan,Select,0,UNKNOWN
13,0,0,1.000000,1.000000,,0,input_char
14,13,0,nan,nan,ICmp,0,UNKNOWN
15,13,0,nan,nan,ICmp,0,UNKNOWN
16,13,0,nan,nan,ICmp,0,UNKNOWN
17,13,0,nan,nan,ICmp,0,UNKNOWN
18,13,0,nan,nan,ICmp,0,UNKNOWN
19,0,0,1.000000,1.000000,,0,input_char
20,19,0,nan,nan,ICmp,0,UNKNOWN
21,19,0,nan,nan,ICmp,0,UNKNOWN
22,19,0,nan,nan,ICmp,0,UNKNOWN
23,19,0,nan,nan,ICmp,0,UNKNOWN
24,19,0,nan,nan,ICmp,0,UNKNOWN
25,24,0,nan,nan,Select,0,UNKNOWN
26,25,0,nan,nan,ICmp,0,UNKNOWN
27,0,19,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/challenges/Childs_Game/lib/strtol.c:124
28,26,27,nan,nan,Select,0,UNKNOWN
29,26,19,nan,nan,Select,0,UNKNOWN
30,0,29,nan,nan,Select,0,UNKNOWN
31,0,0,1.000000,1.000000,,0,input_char
32,31,0,nan,nan,ICmp,0,UNKNOWN
33,31,0,nan,nan,ICmp,0,UNKNOWN
34,0,0,1.000000,1.000000,,0,input_char
35,31,0,nan,nan,ICmp,0,UNKNOWN
36,31,0,nan,nan,ICmp,0,UNKNOWN
37,31,0,nan,nan,ICmp,0,UNKNOWN
38,37,0,nan,nan,Select,0,UNKNOWN
39,34,0,1.000000,1.000000,GetElementPtrt,0,/local/dennis/new/cb-multios/challenges/Childs_Game/lib/strtol.c:108
40,38,0,nan,nan,ICmp,0,UNKNOWN
41,0,31,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/challenges/Childs_Game/lib/strtol.c:124
42,40,41,nan,nan,Select,0,UNKNOWN
43,40,31,nan,nan,Select,0,UNKNOWN
44,0,43,nan,nan,Select,0,UNKNOWN
45,44,0,0.000000,0.000000,Shl,1,/local/dennis/new/cb-multios/challenges/Childs_Game/src/hi_lo_game.c:66
46,44,0,nan,nan,ICmp,0,UNKNOWN
47,44,0,0.000000,0.000000,LShr,1,/local/dennis/new/cb-multios/challenges/Childs_Game/src/hi_lo_game.c:37
48,34,0,nan,nan,ICmp,0,UNKNOWN
49,34,0,0.000000,0.000000,LShr,1,/local/dennis/new/cb-multios/challenges/Childs_Game/lib/malloc_common.c:397
50,34,0,-7.000000,1.000000,And,0,/local/dennis/new/cb-multios/challenges/Childs_Game/lib/malloc_common.c:282
51,50,0,nan,nan,ICmp,0,UNKNOWN
52,34,0,1.000000,1.000000,GetElementPtrt,0,/local/dennis/new/cb-multios/challenges/Childs_Game/lib/malloc_common.c:284
