out_label,lhs_label,rhs_label,out_ndx,out_pdx,opcode,zero,location
1,0,0,1.000000,1.000000,,0,input_char
2,0,0,1.000000,1.000000,,0,input_char
3,0,2,nan,nan,ICmp,0,UNKNOWN
4,0,2,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/include/libpov/strcmp.c:30
5,2,0,nan,nan,ICmp,0,UNKNOWN
6,0,0,1.000000,1.000000,,0,input_char
7,0,6,nan,nan,ICmp,0,UNKNOWN
8,0,6,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/include/libpov/strcmp.c:30
9,6,0,nan,nan,ICmp,0,UNKNOWN
10,0,0,1.000000,1.000000,,0,input_char
11,0,10,nan,nan,ICmp,0,UNKNOWN
12,0,10,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/include/libpov/strcmp.c:30
13,0,0,1.000000,1.000000,,0,input_char
14,0,13,nan,nan,ICmp,0,UNKNOWN
15,0,13,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/include/libpov/strcmp.c:30
16,0,0,1.000000,1.000000,,0,input_char
17,16,0,nan,nan,ICmp,0,UNKNOWN
18,0,0,1.000000,1.000000,,0,input_char
19,0,18,nan,nan,ICmp,0,UNKNOWN
20,0,18,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/include/libpov/strcmp.c:30
21,18,0,nan,nan,ICmp,0,UNKNOWN
22,0,0,1.000000,1.000000,,0,input_char
23,0,22,nan,nan,ICmp,0,UNKNOWN
24,0,22,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/include/libpov/strcmp.c:30
25,0,0,1.000000,1.000000,,0,input_char
26,0,25,nan,nan,ICmp,0,UNKNOWN
27,0,0,1.000000,1.000000,,0,input_char
28,0,27,nan,nan,ICmp,0,UNKNOWN
29,0,27,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/include/libpov/strcmp.c:30
30,27,0,nan,nan,ICmp,0,UNKNOWN
31,0,0,1.000000,1.000000,,0,input_char
32,0,31,nan,nan,ICmp,0,UNKNOWN
33,0,31,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/include/libpov/strcmp.c:30
34,31,0,nan,nan,ICmp,0,UNKNOWN
