out_label,lhs_label,rhs_label,out_ndx,out_pdx,opcode,zero,location
1,0,0,1.000000,1.000000,,0,input_char
2,0,0,1.000000,1.000000,,0,uid_lbl
3,0,0,1.000000,1.000000,,0,gid_lbl
4,0,2,8.000000,8.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
5,2,4,9.000000,9.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
6,0,2,64.000000,64.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
7,5,6,73.000000,73.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
8,0,2,512.000000,512.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
9,7,8,585.000000,585.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
10,0,2,4096.000000,4096.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
11,9,10,4681.000000,4681.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
12,0,2,32768.000000,32768.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
13,11,12,37449.000000,37449.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
14,0,2,262144.000000,262144.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
15,13,14,299593.000000,299593.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
16,0,3,8.000000,8.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
17,3,16,9.000000,9.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
18,0,3,64.000000,64.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
19,17,18,73.000000,73.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
20,0,3,512.000000,512.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
21,19,20,585.000000,585.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
22,0,3,4096.000000,4096.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
23,21,22,4681.000000,4681.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
24,0,3,32768.000000,32768.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
25,23,24,37449.000000,37449.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
26,0,3,262144.000000,262144.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
27,25,26,299593.000000,299593.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
28,0,2,8.000000,8.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
29,2,28,9.000000,9.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
30,0,2,64.000000,64.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
31,29,30,73.000000,73.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
32,0,2,512.000000,512.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
33,31,32,585.000000,585.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
34,0,2,4096.000000,4096.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
35,33,34,4681.000000,4681.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
36,0,2,32768.000000,32768.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
37,35,36,37449.000000,37449.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
38,0,2,262144.000000,262144.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
39,37,38,299593.000000,299593.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
40,0,3,8.000000,8.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
41,3,40,9.000000,9.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
42,0,3,64.000000,64.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
43,41,42,73.000000,73.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
44,0,3,512.000000,512.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
45,43,44,585.000000,585.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
46,0,3,4096.000000,4096.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
47,45,46,4681.000000,4681.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
48,0,3,32768.000000,32768.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
49,47,48,37449.000000,37449.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
50,0,3,262144.000000,262144.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
51,49,50,299593.000000,299593.000000,Add,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:193
52,39,51,897559625728.000000,897559625728.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:229
53,39,51,897559625728.000000,897559625728.000000,Mul,0,/local/dennis/new/cb-multios/challenges/Glue/src/service.c:235
