out_label,lhs_label,rhs_label,out_ndx,out_pdx,opcode,zero,location
1,0,0,1.000000,1.000000,,0,input_char
2,0,0,1.000000,1.000000,,0,input_char
3,0,0,1.000000,1.000000,,0,input_char
4,0,0,1.000000,1.000000,,0,input_char
5,1,0,nan,nan,ICmp,0,UNKNOWN
6,2,0,nan,nan,ICmp,0,UNKNOWN
7,1,0,10.000000,10.000000,Mul,0,/local/dennis/new/cb-multios/challenges/HackMan/lib/strtol.c:107
8,7,2,11.000000,11.000000,Add,0,/local/dennis/new/cb-multios/challenges/HackMan/lib/strtol.c:108
9,3,0,nan,nan,ICmp,0,UNKNOWN
10,8,0,110.000000,110.000000,Mul,0,/local/dennis/new/cb-multios/challenges/HackMan/lib/strtol.c:107
11,10,3,111.000000,111.000000,Add,0,/local/dennis/new/cb-multios/challenges/HackMan/lib/strtol.c:108
12,11,0,0.000000,0.000000,And,1,/local/dennis/new/cb-multios/challenges/HackMan/src/main.c:161
13,11,0,-145.000000,111.000000,And,0,/local/dennis/new/cb-multios/challenges/HackMan/src/main.c:161
14,13,0,-37120.000000,28416.000000,Shl,0,/local/dennis/new/cb-multios/challenges/HackMan/src/main.c:161
15,14,0,-9280.000000,7104.000000,AShr,0,/local/dennis/new/cb-multios/challenges/HackMan/src/main.c:164
16,14,15,-45376.000000,23232.000000,Xor,0,/local/dennis/new/cb-multios/challenges/HackMan/src/main.c:164
17,14,0,-4640.000000,3552.000000,AShr,0,/local/dennis/new/cb-multios/challenges/HackMan/src/main.c:164
18,16,17,-42336.000000,24224.000000,Xor,0,/local/dennis/new/cb-multios/challenges/HackMan/src/main.c:164
19,14,0,-1160.000000,888.000000,AShr,0,/local/dennis/new/cb-multios/challenges/HackMan/src/main.c:164
20,18,19,-41192.000000,24728.000000,Xor,0,/local/dennis/new/cb-multios/challenges/HackMan/src/main.c:164
21,20,0,0.000000,0.000000,And,1,/local/dennis/new/cb-multios/challenges/HackMan/src/main.c:164
22,14,0,-18560.000000,14208.000000,AShr,0,/local/dennis/new/cb-multios/challenges/HackMan/src/main.c:165
23,22,0,0.000000,4294967296.000000,URem,0,/local/dennis/new/cb-multios/challenges/HackMan/src/main.c:169
24,22,0,0.000000,4294967296.000000,URem,0,/local/dennis/new/cb-multios/challenges/HackMan/src/main.c:170
25,1,0,1.000000,1.000000,GetElementPtrt,0,/local/dennis/new/cb-multios/challenges/HackMan/lib/printf.c:105
26,0,0,1.000000,1.000000,,0,input_char
27,0,0,1.000000,1.000000,,0,input_char
28,26,0,nan,nan,ICmp,0,UNKNOWN
29,26,0,nan,nan,ICmp,0,UNKNOWN
30,1,0,1.000000,1.000000,GetElementPtrt,0,/local/dennis/new/cb-multios/challenges/HackMan/lib/printf.c:105
31,0,0,1.000000,1.000000,,0,input_char
32,0,0,1.000000,1.000000,,0,input_char
33,31,0,nan,nan,ICmp,0,UNKNOWN
34,31,0,nan,nan,ICmp,0,UNKNOWN
35,1,0,1.000000,1.000000,GetElementPtrt,0,/local/dennis/new/cb-multios/challenges/HackMan/lib/printf.c:105
36,0,0,1.000000,1.000000,,0,input_char
37,0,0,1.000000,1.000000,,0,input_char
38,36,0,nan,nan,ICmp,0,UNKNOWN
39,36,0,nan,nan,ICmp,0,UNKNOWN
40,1,0,1.000000,1.000000,GetElementPtrt,0,/local/dennis/new/cb-multios/challenges/HackMan/lib/printf.c:105
41,0,0,1.000000,1.000000,,0,input_char
42,0,0,1.000000,1.000000,,0,input_char
43,41,0,nan,nan,ICmp,0,UNKNOWN
44,41,0,nan,nan,ICmp,0,UNKNOWN
45,1,0,1.000000,1.000000,GetElementPtrt,0,/local/dennis/new/cb-multios/challenges/HackMan/lib/printf.c:105
46,0,0,1.000000,1.000000,,0,input_char
47,0,0,1.000000,1.000000,,0,input_char
48,46,0,nan,nan,ICmp,0,UNKNOWN
49,46,0,nan,nan,ICmp,0,UNKNOWN
