out_label,lhs_label,rhs_label,out_ndx,out_pdx,opcode,zero,location
1,0,0,1.000000,1.000000,,0,input_char
2,0,0,1.000000,1.000000,,0,input_char
3,0,2,nan,nan,ICmp,0,UNKNOWN
4,0,2,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/include/libpov/strcmp.c:30
5,2,0,nan,nan,ICmp,0,UNKNOWN
6,0,0,1.000000,1.000000,,0,input_char
7,0,6,nan,nan,ICmp,0,UNKNOWN
8,0,6,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/include/libpov/strcmp.c:30
9,0,0,1.000000,1.000000,,0,input_char
10,0,9,nan,nan,ICmp,0,UNKNOWN
11,0,9,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/include/libpov/strcmp.c:30
12,0,0,1.000000,1.000000,,0,input_char
13,0,12,nan,nan,ICmp,0,UNKNOWN
14,0,12,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/include/libpov/strcmp.c:30
15,0,0,1.000000,1.000000,,0,input_char
16,0,15,nan,nan,ICmp,0,UNKNOWN
17,0,15,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/include/libpov/strcmp.c:30
18,0,0,1.000000,1.000000,,0,input_char
19,0,18,nan,nan,ICmp,0,UNKNOWN
20,0,18,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/include/libpov/strcmp.c:30
21,0,0,1.000000,1.000000,,0,input_char
22,0,21,nan,nan,ICmp,0,UNKNOWN
23,0,21,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/include/libpov/strcmp.c:30
24,0,0,1.000000,1.000000,,0,input_char
25,0,0,1.000000,1.000000,,0,input_char
