out_label,lhs_label,rhs_label,out_ndx,out_pdx,opcode,zero,location
1,0,0,1.000000,1.000000,,0,input_char
2,1,0,nan,nan,ICmp,0,UNKNOWN
3,0,1,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/challenges/One_Vote/lib/conv.c:237
4,1,0,10.000000,10.000000,Mul,0,/local/dennis/new/cb-multios/challenges/One_Vote/lib/conv.c:234
5,0,4,0.000000,0.000000,And,1,/local/dennis/new/cb-multios/challenges/One_Vote/src/election.c:1241
6,0,0,1.000000,1.000000,,0,input_char
7,0,0,1.000000,1.000000,,0,input_char
8,0,0,1.000000,1.000000,,0,input_char
9,0,0,1.000000,1.000000,,0,input_char
10,9,0,nan,nan,ICmp,0,UNKNOWN
11,0,9,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/challenges/One_Vote/lib/conv.c:237
12,0,0,1.000000,1.000000,,0,input_char
13,12,0,nan,nan,ICmp,0,UNKNOWN
14,0,12,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/challenges/One_Vote/lib/conv.c:237
15,12,0,10.000000,10.000000,Mul,0,/local/dennis/new/cb-multios/challenges/One_Vote/lib/conv.c:234
16,0,0,1.000000,1.000000,,0,input_char
17,0,0,1.000000,1.000000,,0,input_char
18,17,0,nan,nan,ICmp,0,UNKNOWN
19,0,17,-1.000000,-1.000000,Sub,0,/local/dennis/new/cb-multios/challenges/One_Vote/lib/conv.c:237
20,17,0,10.000000,10.000000,Mul,0,/local/dennis/new/cb-multios/challenges/One_Vote/lib/conv.c:234
21,0,20,2.000000,-2.000000,And,0,/local/dennis/new/cb-multios/challenges/One_Vote/src/election.c:1241
22,0,0,1.000000,1.000000,,0,input_char
23,0,0,1.000000,1.000000,,0,input_char
24,0,0,1.000000,1.000000,,0,input_char
