out_label,lhs_label,rhs_label,out_ndx,out_pdx,opcode,zero,location
1,0,0,1.000000,1.000000,,0,input_char
2,0,0,1.000000,1.000000,,0,input_char
3,0,0,1.000000,1.000000,,0,input_char
4,0,0,1.000000,1.000000,,0,input_char
5,0,0,1.000000,1.000000,,0,input_char
6,0,0,1.000000,1.000000,,0,input_char
7,0,0,1.000000,1.000000,,0,input_char
8,0,0,1.000000,1.000000,,0,input_char
9,0,0,1.000000,1.000000,,0,input_char
10,0,0,1.000000,1.000000,,0,input_char
11,0,0,1.000000,1.000000,,0,input_char
12,0,0,1.000000,1.000000,,0,input_char
13,0,0,1.000000,1.000000,,0,input_char
14,0,0,1.000000,1.000000,,0,input_char
15,0,0,1.000000,1.000000,,0,input_char
16,0,0,1.000000,1.000000,,0,input_char
17,0,0,1.000000,1.000000,,0,input_char
18,0,0,1.000000,1.000000,,0,input_char
19,0,0,1.000000,1.000000,,0,input_char
20,0,0,1.000000,1.000000,,0,input_char
21,0,0,1.000000,1.000000,,0,input_char
22,0,0,1.000000,1.000000,,0,input_char
23,0,0,1.000000,1.000000,,0,input_char
24,0,0,1.000000,1.000000,,0,input_char
25,0,0,1.000000,1.000000,,0,input_char
26,0,0,1.000000,1.000000,,0,input_char
27,0,0,1.000000,1.000000,,0,input_char
28,0,0,1.000000,1.000000,,0,input_char
29,2,0,nan,nan,ICmp,0,UNKNOWN
30,2,0,nan,nan,ICmp,0,UNKNOWN
31,4,0,nan,nan,ICmp,0,UNKNOWN
32,6,0,nan,nan,ICmp,0,UNKNOWN
33,8,0,nan,nan,ICmp,0,UNKNOWN
34,2,0,nan,nan,ICmp,0,UNKNOWN
35,4,0,nan,nan,ICmp,0,UNKNOWN
36,6,0,nan,nan,ICmp,0,UNKNOWN
37,8,0,nan,nan,ICmp,0,UNKNOWN
38,2,0,nan,nan,ICmp,0,UNKNOWN
39,2,0,nan,nan,ICmp,0,UNKNOWN
40,4,0,nan,nan,ICmp,0,UNKNOWN
41,2,0,nan,nan,ICmp,0,UNKNOWN
42,2,0,nan,nan,ICmp,0,UNKNOWN
43,2,0,nan,nan,ICmp,0,UNKNOWN
44,2,0,nan,nan,ICmp,0,UNKNOWN
45,2,0,nan,nan,ICmp,0,UNKNOWN
46,2,0,nan,nan,ICmp,0,UNKNOWN
47,2,0,nan,nan,ICmp,0,UNKNOWN
48,2,0,nan,nan,ICmp,0,UNKNOWN
49,0,0,1.000000,1.000000,,0,input_char
50,0,0,1.000000,1.000000,,0,input_char
51,0,0,1.000000,1.000000,,0,input_char
52,0,0,1.000000,1.000000,,0,input_char
53,0,0,1.000000,1.000000,,0,input_char
54,0,0,1.000000,1.000000,,0,input_char
55,0,0,1.000000,1.000000,,0,input_char
56,0,0,1.000000,1.000000,,0,input_char
57,0,0,1.000000,1.000000,,0,input_char
58,0,0,1.000000,1.000000,,0,input_char
59,0,0,1.000000,1.000000,,0,input_char
60,0,0,1.000000,1.000000,,0,input_char
61,0,0,1.000000,1.000000,,0,input_char
62,0,0,1.000000,1.000000,,0,input_char
63,0,0,1.000000,1.000000,,0,input_char
64,0,0,1.000000,1.000000,,0,input_char
65,0,0,1.000000,1.000000,,0,input_char
66,0,0,1.000000,1.000000,,0,input_char
67,0,0,1.000000,1.000000,,0,input_char
68,0,0,1.000000,1.000000,,0,input_char
69,0,0,1.000000,1.000000,,0,input_char
70,0,0,1.000000,1.000000,,0,input_char
71,0,0,1.000000,1.000000,,0,input_char
72,0,0,1.000000,1.000000,,0,input_char
73,0,0,1.000000,1.000000,,0,input_char
74,0,0,1.000000,1.000000,,0,input_char
75,0,0,1.000000,1.000000,,0,input_char
76,0,0,1.000000,1.000000,,0,input_char
77,0,0,1.000000,1.000000,,0,input_char
78,0,0,1.000000,1.000000,,0,input_char
79,0,0,1.000000,1.000000,,0,input_char
80,0,0,1.000000,1.000000,,0,input_char
81,0,0,1.000000,1.000000,,0,input_char
82,0,0,1.000000,1.000000,,0,input_char
83,0,0,1.000000,1.000000,,0,input_char
84,0,0,1.000000,1.000000,,0,input_char
85,0,0,1.000000,1.000000,,0,input_char
86,0,0,1.000000,1.000000,,0,input_char
87,0,0,1.000000,1.000000,,0,input_char
88,0,0,1.000000,1.000000,,0,input_char
89,0,0,1.000000,1.000000,,0,input_char
90,0,0,1.000000,1.000000,,0,input_char
91,0,0,1.000000,1.000000,,0,input_char
92,0,0,1.000000,1.000000,,0,input_char
93,0,0,1.000000,1.000000,,0,input_char
94,0,0,1.000000,1.000000,,0,input_char
95,0,0,1.000000,1.000000,,0,input_char
96,0,0,1.000000,1.000000,,0,input_char
97,0,0,1.000000,1.000000,,0,input_char
98,0,0,1.000000,1.000000,,0,input_char
99,0,0,1.000000,1.000000,,0,input_char
100,0,0,1.000000,1.000000,,0,input_char
101,0,0,1.000000,1.000000,,0,input_char
